,f_vol,f_connect,f_discon,f_cur,f_cost,rbs,num_bats,w1,w2,w3
0,1.0,1.0,1.0,1.000000000000001,1.0,type A,3,0.6000000000000003,0.5,0.5000000000000002
1,1.0,1.0,1.0,0.9999999999999996,0.8571428571428571,type B,3,0.6285714285714286,0.5357142857142857,0.5357142857142856
2,1.0,1.0,1.0,0.3333333333333332,0.4285714285714285,type C,3,0.580952380952381,0.6428571428571429,0.47619047619047616
3,1.0,0.6666666666666666,1.0,0.3333333333333327,0.5714285714285714,type D,3,0.4857142857142857,0.5238095238095237,0.35714285714285693
4,1.0,1.0,1.0,0.3333333333333332,0.7857142857142857,type E,3,0.5095238095238096,0.5535714285714286,0.38690476190476186
5,1.0,1.0,1.0,0.9999999999999994,0.5714285714285714,type F,3,0.6857142857142857,0.6071428571428572,0.607142857142857
6,1.0,1.0,1.0,1.0,0.4285714285714285,type G,3,0.7142857142857143,0.6428571428571429,0.6428571428571429
7,1.0,1.0,1.0,0.9999999999999996,0.5,type H,3,0.7000000000000001,0.625,0.6249999999999999
8,1.0,1.0,1.0,1.0000000000000009,1.0,type A,4,0.6000000000000003,0.5,0.5000000000000002
9,1.0,1.0,1.0,0.9999999999999992,0.8421052631578947,type B,4,0.631578947368421,0.5394736842105263,0.5394736842105261
10,1.0,1.0,1.0,0.25,0.4210526315789473,type C,4,0.5657894736842106,0.6447368421052632,0.45723684210526316
11,1.0,0.5,1.0,0.2499999999999995,0.5263157894736842,type D,4,0.4447368421052631,0.493421052631579,0.30592105263157887
12,1.0,1.0,1.0,0.2499999999999999,0.7368421052631579,type E,4,0.5026315789473684,0.5657894736842105,0.3782894736842105
13,1.0,1.0,1.0,1.0000000000000002,0.5789473684210527,type F,4,0.6842105263157896,0.6052631578947368,0.6052631578947368
14,1.0,1.0,1.0,0.9999999999999998,0.4736842105263157,type G,4,0.7052631578947369,0.631578947368421,0.631578947368421
15,1.0,1.0,1.0,1.0000000000000009,0.5263157894736842,type H,4,0.6947368421052634,0.618421052631579,0.6184210526315792
16,1.0,1.0,1.0,0.9999999999999986,1.0,type A,5,0.5999999999999999,0.5,0.49999999999999967
17,1.0,1.0,1.0,0.9999999999999988,0.8333333333333334,type B,5,0.6333333333333331,0.5416666666666666,0.5416666666666663
18,1.0,1.0,1.0,0.1999999999999999,0.4166666666666667,type C,5,0.5566666666666668,0.6458333333333334,0.44583333333333325
19,1.0,0.4,1.0,0.2000000000000002,0.5,type D,5,0.42000000000000015,0.475,0.275
20,1.0,1.0,1.0,0.199999999999997,0.7083333333333334,type E,5,0.49833333333333274,0.5729166666666666,0.3729166666666659
21,1.0,1.0,1.0,0.9999999999999992,0.5833333333333334,type F,5,0.6833333333333332,0.6041666666666666,0.6041666666666664
22,1.0,1.0,1.0,0.9999999999999976,0.5,type G,5,0.6999999999999996,0.625,0.6249999999999993
23,1.0,1.0,1.0,0.9999999999999994,0.5416666666666666,type H,5,0.6916666666666667,0.6145833333333334,0.6145833333333333
24,1.0,1.0,1.0,0.9999999999999988,1.0,type A,6,0.5999999999999999,0.5,0.49999999999999967
25,1.0,1.0,1.0,0.9999999999999988,0.8275862068965517,type B,6,0.6344827586206895,0.5431034482758621,0.5431034482758618
26,1.0,1.0,1.0,0.1666666666666666,0.4137931034482758,type C,6,0.5505747126436782,0.646551724137931,0.4382183908045977
27,1.0,0.3333333333333333,1.0,0.1666666666666667,0.4827586206896552,type D,6,0.40344827586206894,0.46264367816091945,0.2543103448275862
28,1.0,1.0,1.0,0.1666666666666668,0.6896551724137931,type E,6,0.49540229885057474,0.5775862068965517,0.36925287356321845
29,1.0,1.0,1.0,0.9999999999999982,0.5862068965517241,type F,6,0.6827586206896549,0.603448275862069,0.6034482758620685
30,1.0,1.0,1.0,0.9999999999999984,0.5172413793103449,type G,6,0.6965517241379309,0.6206896551724138,0.6206896551724134
31,1.0,1.0,1.0,0.9999999999999992,0.5517241379310345,type H,6,0.689655172413793,0.6120689655172413,0.6120689655172411
32,1.0,1.0,1.0,0.9999999999999986,1.0,type A,7,0.5999999999999999,0.5,0.49999999999999967
